Id,Nombre,Tipo,Localidad,Provincia,Latitud,Longitud,Altura,Id Interno,Ubicacion,Desde,Hasta
481,Zampalito - EEA Consulta,Nimbus THP,Tupungato,Mendoza,-33.48,-69.05,750,A872700,"Zampalito, Tupungato, Mendoza",22/07/2015,26/07/2019
413,25 de Mayo - EEA Pergamino,Nimbus THP,25 de Mayo,Buenos Aires,-35.48,-60.13,85,A872872,CC 18 CP6660,04/09/2012,23/09/2020
682,5000,Nimbus THP,Hurlingham,Buenos Aires,-90,0,0,A875000,-,20/11/2019,27/04/2020
683,5001,Nimbus THP,Hurlingham,Buenos Aires,-90,0,0,A875001,-,20/11/2019,27/04/2020
671,A873000,Nimbus THP,25 de Mayo,Río Negro,-90,-20,100,A873000,A873000,27/06/2019,09/03/2020
675,A877777,Nimbus THP,25 de Mayo,Río Negro,0,0,0,A877777,A877777,17/10/2019,21/04/2020
516,Abra Pampa - EEA Abra Pampa,Nimbus THP,Abra Pampa,Jujuy,-22.8,-65.83,3463,A872923,Ruta Provincial 11 km 17 - Abra Pampa,28/08/2013,23/09/2020
566,Alcaraz,Omixom,Sin asignar,Entre Rios,-31.48,-59.59,0,91046,La Paz,31/03/2017,12/01/2019
625,Aldea Asuncion,Omixom,Sin asignar,Entre Rios,-32.93,-59.24,0,91086,Gualeguay,09/11/2017,12/01/2019
279,Alej. Roca - EEA Marcos Juarez,Nimbus THP,Alejandro Roca,Córdoba,-33.5,-63.66,215,A872828,"Colonia San José, 20km al sur de A. Roca",18/11/2011,25/04/2020
236,Alfonso - EEA Pergamino,Nimbus THP,Mariano Alfonso,Buenos Aires,-33.91,-60.84,80,A872814,Ruta 8 km; 248.,31/12/1999,23/09/2020
365,Algarrobo,Davis,Algarrobo,Buenos Aires,-38.89,-63.14,40,D0010,Algarrobo (Hilario Ascasubi),06/09/2012,07/05/2019
632,Almacén Iglesias,Omixom,Sin asignar,Entre Rios,-32.02,-59.53,0,91095,Nogoyá,31/03/2017,12/01/2019
621,Altamirano Norte,Omixom,Sin asignar,Entre Rios,-32.06,-59.16,0,91081,Tala,05/10/2017,12/01/2019
393,Andalgala - EEA Catamarca,Nimbus THP,Andalgala,Catamarca,-27.61,-66.33,983,A872885,Ing. Jacobaci s/n. Distrito de Huaco CP :4740,12/12/2012,23/09/2020
403,Andresito - EEA Montecarlo,Nimbus THP,Andresito,Misiones,-25.62,-54.07,261,A872912,"RP 19 y Av. Chile, acceso Andresito, CP: 3385",11/06/2013,23/09/2020
233,Anguil -EEA Anguil,Nimbus THP,Anguil,La Pampa,-36.54,-63.99,165,A872823,Ruta Nacional Nº 5 Km. 580. CP: 6326,13/09/2010,23/09/2020
468,Aparicio - EEA Barrow,Nimbus THP,Coronel Dorrego,Buenos Aires,-38.67,-60.93,118.800003051758,A872838,0,12/11/2014,09/06/2017
411,Apolinario Saravia - EEA Salta,Nimbus THP,Apolinario Saravia,Salta,-24.43,-63.99,360,A872879,"Ruta Prov. N°5 y acceso a A. Saravia, CP: 4449",11/09/2013,08/09/2020
602,Arandú,Omixom,Sin asignar,Corrientes,-29.78,-57.46,0,92024,Bonpland,31/03/2017,10/01/2019
237,Arrecifes - EEA Pergamino,Nimbus THP,Arrecifes,Buenos Aires,-34.05,-60.14,36,A872820,"Ruta 8 Km 178,5",11/10/2010,23/09/2020
